TRAIN:
milp32_shape1.data [0.03817762587609262, 0.9994125804941391]
milp32_shape10.data [0.31679939077939623, 0.8733196442136081]
milp32_shape11.data [0.5167962908180029, 0.7708692487293709]
milp32_shape12.data [0.12887255218834712, 0.9545397278683017]
milp32_shape13.data [0.12057130792809634, 0.999424635146321]
milp32_shape14.data [0.139350227527038, 0.9988685301282717]
milp32_shape15.data [0.1751791235097179, 0.9890065104030598]
milp32_shape16.data [0.335213848056989, 0.716410602340125]
milp32_shape17.data [0.3146607798334899, 0.8747838260824515]
milp32_shape2.data [0.12413760541420556, 0.9829912753670379]
milp32_shape3.data [0.19070680758175595, 0.937345525841573]
milp32_shape6.data [0.30130368742695773, 0.7280147527705558]
milp32_shape7.data [0.017586891515538078, 0.9996325512405609]
milp32_shape8.data [0.2106540782939467, 0.943659938896774]
milp32_shape9.data [0.14590518784365314, 0.901560832060233]

VALID:
milp32_shape4.data [0.199028954191401, 0.9999062563096714]
milp32_shape5.data [0.3282961588794014, 0.894021101992966]
